ALL MD5 Hash from https://darthsternie.net/ps4-firmwares/

PS4 Firmwares
9.00 e923e6d210399f236177e332843e2754
5.05 f86d4f9d2c049547bd61f942151ffb55
7.55 f70be91d56123074e7be3ca0748d1300
7.02 352103a9c78fef4dd4ffd2d317544cec
6.72 f3a31f64d894dc06040498cd7383bec2
4.55 9c85ce3a255719d56f2aa07f4be22f02
4.05 203c76c97f7be5b881dd0c77c8edf385
1.76 a5234c6e8d37a57b374e24171173fbdd

Recovery Firmwares
9.00 674420f041cb5845aae85928751ccd0e
5.05 c2a602174f6b1d8ef599640cd276924a
7.55 ae0c21163dd52bdd16789cd95e102654
7.02 c8f661484ee1a6ba82ff654f0aac7906
6.72 8140fdd70c1061c379f08566be022ecb
4.55 6c28dbf66f63b7d3953491cc656f4e2d
4.05 741cfe2f0dec1bb4663571de78ae31cf
1.76 c9ef52548cf8d397b0da7395f8826564
